Quelle âge avez-vous ?,À quel genre vous identifiez-vous ?,Vous êtes à Bac + ? ,Quel est votre domaine d'étude ?,Quel est la catégorie socioprofessionnelle de votre parent 1 ?,Quel est la catégorie socioprofessionnelle de votre parent 2 ?,Avez-vous déjà eu une première expérience professionnelle ?,Dans quelle mesure êtes-vous d’accord avec la proposition suivante : J’ai une idée précise de mon futur professionnel,"Dans quelle mesure êtes-vous d’accord avec la proposition suivante : Lorsque vous avez commencé vos études, vous n’aviez aucune idée de votre futur
professionnel",Souhaiteriez-vous exercer une activité de façon indépendante ?,"A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [Les valeurs de l'entreprise]","A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [L'ambiance au travail]","A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [La conciliation vie profesionnelle, vie personnelle]","A quelle valeur présente dans les politiques  des entreprises êtes-vous le ou la
plus sensible ? ",A quel type de diversité êtes-vous le ou la plus sensible ?
54,Femme,8,"Économie et gestion : économie, AES (Administration Economique et Social)…",Artisan,Employé,,5,3,Non,3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Cadre et profession intellectuelle supérieure,Oui,2,4,"Oui, après quelques années d'expérience dans une entrepise",3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Profession intermédiaire,Non,1,5,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Employé,Oui,2,5,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’âge
20,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Employé,Oui,1,5,Je ne sais pas encore,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon le genre
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Oui,2,4,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,4,5,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
21,Femme,4,"Sciences et technologies : maths, informatique, biologie…",,,Oui,3,2,"Oui, après quelques années d'expérience dans une entrepise",1,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
23,Femme,2,"Sciences et technologies : maths, informatique, biologie…",,,Oui,4,,Je ne sais pas encore,1,2,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
20,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Artisan,Oui,2,1,Je ne sais pas encore,3,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon le genre
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",,Cadre et profession intellectuelle supérieure,Oui,2,4,"Oui, après quelques années d'expérience dans une entrepise",2,1,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
18,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Agriculteur exploitant,Commerçant et chef d'entreprise,Oui,3,4,Non,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’âge
101,,,"Santé : médecine, pharmacie…",,,,,,,,,,,
,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Agriculteur exploitant,Cadre et profession intellectuelle supérieure,Oui,4,1,"Oui, après quelques années d'expérience dans une entrepise",2,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
18,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Oui,4,5,Je ne sais pas encore,2,1,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Profession intermédiaire,Oui,1,4,Je ne sais pas encore,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Cadre et profession intellectuelle supérieure,Oui,3,3,Je ne sais pas encore,2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
20,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Sans emploi,Sans emploi,Non,3,1,"Oui, après quelques années d'expérience dans une entrepise",1,3,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
20,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Commerçant et chef d'entreprise,Non,4,1,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
18,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Ouvrier,Oui,3,4,Je ne sais pas encore,1,2,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
22,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
